,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,auki,-8.7676,160.7034,24.71,91,83,1.86,SB,1721591665
369,iskateley,67.6803,53.1512,10.67,63,96,2.03,RU,1721591665
370,lorengau,-2.0226,147.2712,27.42,83,87,4.72,PG,1721591665
371,muromtsevo,56.3724,75.2418,15.58,96,100,3.58,RU,1721591666
372,luau,-10.7073,22.2247,21.13,27,6,1.11,AO,1721591666
373,champerico,14.3,-91.9167,34.3,72,65,2.97,GT,1721591666
374,gursarai,25.6148,79.1788,32.4,56,97,4.98,IN,1721591666
375,polyarnyy,69.1989,33.4478,18.11,67,88,2.43,RU,1721591666
376,novodvinsk,64.4165,40.8122,14.86,63,16,2.0,RU,1721591667
377,yemetsk,63.4721,41.7941,13.16,62,36,2.38,RU,1721591667
378,zvishavane,-20.3267,30.0665,15.11,49,0,1.52,ZW,1721591667
379,namibe,-15.1961,12.1522,17.83,82,97,1.02,AO,1721591667
380,anatuya,-28.4606,-62.8347,19.37,52,21,4.5,AR,1721591667
381,hadibu,12.65,54.0333,26.39,81,100,9.81,YE,1721591623
382,kanniyakumari,8.0833,77.5667,26.03,80,89,6.68,IN,1721591668
383,puerto carreno,6.189,-67.4859,29.99,70,40,2.06,CO,1721591668
384,bangassou,4.7413,22.8184,21.05,94,90,0.61,CF,1721591668
385,pangai,-19.8,-174.35,24.06,83,20,4.63,TO,1721591668
386,alotau,-10.3069,150.4462,22.44,96,90,1.82,PG,1721591669
387,tromso,69.6496,18.957,20.01,64,0,3.09,NO,1721591669
388,puerto maldonado,-12.6,-69.1833,32.22,45,20,2.06,PE,1721591669
389,alba posse,-27.5698,-54.6826,23.65,68,100,0.6,AR,1721591669
390,praia da vitoria,38.7333,-27.0667,25.42,73,75,1.77,PT,1721591670
391,charlottetown,46.2352,-63.1267,24.32,68,75,2.06,CA,1721591670
392,furstenfeld,47.05,16.0833,24.81,69,0,0.92,AT,1721591670
393,lompoc,34.6391,-120.4579,25.08,52,0,5.32,US,1721591665
394,pauini,-7.7136,-66.9764,36.43,22,92,1.53,BR,1721591670
395,maamba,-17.3667,27.15,18.65,32,1,1.34,ZM,1721591670
396,ancud,-41.8697,-73.8203,9.7,80,23,1.09,CL,1721591671
397,chifeng,42.2683,118.9636,23.23,71,100,1.23,CN,1721591671
398,vadso,70.0744,29.7487,24.49,68,0,2.06,NO,1721591671
399,cadale,2.7603,46.3222,24.8,86,100,8.07,SO,1721591671
400,port douglas,-16.4833,145.4667,18.06,72,16,2.76,AU,1721591671
401,anar darah,32.7587,61.654,30.81,16,0,7.15,AF,1721591672
402,alliance,40.9153,-81.1059,28.15,53,100,0.89,US,1721591439
403,tamanrasset,22.785,5.5228,32.95,24,40,3.6,DZ,1721591672
404,gorontalo,0.5412,123.0595,24.96,88,100,2.1,ID,1721591672
405,novobureyskiy,49.798,129.8774,16.84,96,13,1.0,RU,1721591672
406,ratnagiri,16.9833,73.3,26.56,87,100,7.18,IN,1721591673
407,santana,-0.0583,-51.1817,33.1,62,40,2.06,BR,1721591540
408,la ronge,55.1001,-105.2842,23.14,60,75,3.6,CA,1721591673
409,san martin,-33.081,-68.4681,14.3,32,0,1.36,AR,1721591404
410,saint-francois,46.4154,3.9054,19.69,77,0,2.57,FR,1721591673
411,anapolis,-16.3267,-48.9528,26.26,31,0,3.6,BR,1721591632
412,nova sintra,14.8667,-24.7167,25.05,77,0,6.8,CV,1721591674
413,vallam,10.7167,79.0833,30.03,64,100,7.19,IN,1721591674
414,obsharovka,53.125,48.8531,18.05,79,0,2.51,RU,1721591674
415,santa terezinha,-29.9002,-50.0904,16.87,85,100,2.09,BR,1721591674
416,simitli,41.8833,23.1167,29.21,47,83,1.5,BG,1721591675
417,hirara,24.8,125.2833,28.92,89,40,3.09,JP,1721591675
418,saint-philippe,-21.3585,55.7679,20.77,82,35,3.06,RE,1721591436
419,nemuro,43.3236,145.575,16.58,97,34,7.2,JP,1721591675
420,grand falls-windsor,48.9332,-55.6649,25.84,58,100,1.79,CA,1721591675
421,padang,-0.9492,100.3543,26.03,90,48,1.99,ID,1721591676
422,guaruja,-23.9931,-46.2564,18.92,38,75,2.68,BR,1721591676
423,usinsk,65.9939,57.5281,11.56,57,88,3.85,RU,1721591477
424,korla,41.7597,86.1469,30.58,22,100,6.32,CN,1721591676
425,phan thiet,10.9333,108.1,24.53,90,96,3.61,VN,1721591676
426,okha,53.5739,142.9478,13.68,98,100,1.88,RU,1721591677
427,salqin,36.1381,36.4532,27.04,68,0,3.03,SY,1721591677
428,tucuma,-0.1833,-50.05,30.4,63,3,5.26,BR,1721591677
429,san ignacio de velasco,-16.3667,-60.95,33.36,17,0,2.98,BO,1721591677
430,sandnessjoen,66.0217,12.6316,25.06,47,0,4.12,NO,1721591523
431,salekhard,66.53,66.6019,8.97,71,64,5.14,RU,1721591678
432,trujillo,-8.116,-79.03,17.98,77,5,6.17,PE,1721591678
433,cobourg,50.2667,10.9667,21.88,84,31,1.45,DE,1721591678
434,nuriootpa,-34.4833,139.0,7.99,83,0,4.44,AU,1721591678
435,fortaleza,-3.7227,-38.5247,28.07,69,20,7.2,BR,1721591678
436,bogande,12.9714,-0.1436,27.29,72,95,4.13,BF,1721591679
437,st. john's,47.5649,-52.7093,23.66,46,75,8.75,CA,1721591478
438,fort st. john,56.2499,-120.8529,27.94,39,75,5.66,CA,1721591679
439,tyukhtet,56.5389,89.3011,15.88,98,100,1.94,RU,1721591679
440,susangerd,31.5608,48.1831,39.26,12,0,7.01,IR,1721591679
441,kaa-khem,51.6833,94.7333,17.11,90,100,1.62,RU,1721591680
442,ola,59.5833,151.2833,12.85,95,100,1.6,RU,1721591680
443,vecpiebalga,57.0599,25.8127,15.26,92,100,0.89,LV,1721591680
444,nabire,-3.3667,135.4833,23.55,94,100,1.28,ID,1721591680
445,yeppoon,-23.1333,150.7333,6.81,56,0,2.28,AU,1721591680
446,ikongo,-21.8833,47.4333,15.34,89,0,1.26,MG,1721591681
447,al ain city,24.1917,55.7606,35.79,59,6,4.12,AE,1721591681
448,ngama,11.7833,17.1667,28.44,68,100,2.58,TD,1721591681
449,vicuna,-30.0319,-70.7081,14.07,64,0,1.79,CL,1721591681
450,fale old settlement,-9.3852,-171.2468,28.16,68,36,8.25,TK,1721591682
451,laguna,38.421,-121.4238,34.62,34,0,3.09,US,1721591682
452,shingu,33.7333,135.9833,25.51,93,22,2.66,JP,1721591682
453,ginir,7.1333,40.7,16.53,79,65,3.67,ET,1721591673
454,las khorey,11.1595,48.1967,34.59,46,100,5.96,SO,1721591683
455,puerto madero,14.7208,-92.4215,33.11,58,40,3.6,MX,1721591683
456,ulladulla,-35.35,150.4667,7.9,80,4,2.45,AU,1721591683
457,dwarka,22.2394,68.9678,28.21,89,100,7.32,IN,1721591683
458,chania,35.5122,24.0156,28.78,61,0,2.06,GR,1721591683
459,pangody,65.85,74.4859,8.47,64,0,3.49,RU,1721591684
460,severo-yeniseyskiy,60.3725,93.0408,13.74,96,23,1.39,RU,1721591684
461,oltinko'l,40.8011,72.1634,29.87,24,100,2.8,UZ,1721591684
462,kastoria,40.5167,21.2667,23.17,46,8,2.96,GR,1721591684
463,tocopilla,-22.092,-70.1979,17.73,67,13,3.75,CL,1721591685
464,fellsmere,27.7678,-80.6014,33.32,74,0,0.45,US,1721591685
465,caxito,-8.5785,13.6643,19.2,92,9,1.45,AO,1721591685
466,ridgecrest,35.6225,-117.6709,42.6,12,0,2.82,US,1721591455
467,kruisfontein,-34.0033,24.7314,7.71,84,0,2.58,ZA,1721591685
468,ma'an,26.9775,110.7211,25.62,82,100,2.04,CN,1721591685
469,kisesa,-3.0833,34.15,23.89,48,81,2.21,TZ,1721591686
470,srisailain,16.0833,78.8667,22.41,95,100,5.77,IN,1721591686
471,puerto deseado,-47.7503,-65.8938,10.76,60,78,11.06,AR,1721591686
472,suances,43.4334,-4.0434,19.43,68,75,2.57,ES,1721591686
473,rouyn-noranda,48.2398,-79.0288,21.05,46,75,3.09,CA,1721591687
474,crane,31.3974,-102.3501,33.79,30,99,3.76,US,1721591687
475,vredendal,-31.6683,18.5012,11.04,64,0,2.92,ZA,1721591687
476,calvinia,-31.4707,19.776,8.78,40,0,1.47,ZA,1721591687
477,opuwo,-18.0607,13.84,16.59,25,41,1.85,NA,1721591687
478,justo daract,-33.8594,-65.1828,13.56,46,100,2.0,AR,1721591688
479,yanbu,24.0891,38.0637,36.02,14,0,4.63,SA,1721591688
480,i-n-salah,27.1935,2.4607,38.77,9,0,5.59,DZ,1721591688
481,pimentel,-6.8367,-79.9342,21.16,60,0,8.75,PE,1721591688
482,giado,31.9582,12.0203,31.38,21,0,3.24,LY,1721591688
483,posto fiscal rolim de moura,-13.0833,-62.2667,35.14,20,5,0.85,BR,1721591689
484,nelson bay,-32.7167,152.15,8.89,92,0,5.99,AU,1721591689
485,lensk,60.7253,114.9278,17.04,77,17,1.41,RU,1721591689
486,lakatoro,-16.0999,167.4164,24.93,87,27,3.54,VU,1721591689
487,lago da pedra,-4.3333,-45.1667,33.5,29,6,2.4,BR,1721591690
488,atambua,-9.1061,124.8925,17.63,85,5,2.86,ID,1721591690
489,kittila,67.6647,24.8936,22.08,40,0,1.03,FI,1721591690
490,bayanhongor,46.7167,100.1167,8.99,73,0,1.96,MN,1721591690
491,nova vicosa,-17.8919,-39.3719,23.68,65,18,3.69,BR,1721591690
492,brookings,44.3114,-96.7984,27.88,61,40,3.6,US,1721591691
493,kirovsk,48.6375,38.6428,25.28,29,100,1.77,UA,1721591691
494,sungai raya,0.7,108.9,26.21,89,100,3.12,ID,1721591691
495,swakopmund,-22.6833,14.5333,13.32,86,12,1.79,NA,1721591691
496,yerofey pavlovich,53.9667,121.9667,14.39,75,61,1.17,RU,1721591692
497,poso,-1.3959,120.7524,25.68,78,81,2.09,ID,1721591692
498,la romana,18.4273,-68.9728,33.2,55,40,6.17,DO,1721591692
499,barranca,-10.75,-77.7667,18.44,71,14,5.58,PE,1721591692
500,tosontsengel,48.7567,98.2839,10.61,82,6,0.87,MN,1721591692
501,pervomayskoye,43.919,46.7102,24.64,47,5,1.79,RU,1721591693
502,cynthiana,38.3904,-84.2941,30.45,51,100,3.33,US,1721591693
503,paraiso,9.8383,-83.8656,25.48,84,100,2.17,CR,1721591693
504,abbeville,50.1,1.8333,18.47,88,98,5.47,FR,1721591693
505,dakhla,23.6848,-15.958,21.01,88,0,15.43,EH,1721591694
506,loukhi,66.0764,33.0381,11.67,65,49,2.01,RU,1721591694
507,kuanda,56.3161,116.0806,19.48,83,100,0.54,RU,1721591694
508,tabou,4.423,-7.3528,24.21,84,100,4.92,CI,1721591694
509,hailey,43.5196,-114.3153,34.41,14,26,7.24,US,1721591694
510,ashland,40.8167,-82.2665,28.33,47,100,1.18,US,1721591695
511,hamilton,39.1834,-84.5333,28.47,60,0,3.6,US,1721591413
512,bani walid,31.7566,13.9942,29.18,26,0,4.05,LY,1721591695
513,palikir - national government center,6.9248,158.1611,24.41,100,40,0.0,FM,1721591695
514,ighiu,46.15,23.5167,18.87,89,5,2.1,RO,1721591695
515,ghadamis,30.1337,9.5007,36.07,11,0,3.63,LY,1721591696
516,tura,25.5198,90.2201,25.02,93,99,2.66,IN,1721591375
517,carmo do paranaiba,-19.0008,-46.3161,24.31,39,0,3.7,BR,1721591696
518,santa marta de tormes,40.9506,-5.6272,25.01,44,0,0.0,ES,1721591696
519,bodaybo,57.8506,114.1933,18.42,93,95,0.76,RU,1721591696
520,arak,34.0917,49.6892,27.38,19,0,2.13,IR,1721591696
521,jean-rabel,19.8533,-73.1917,32.82,59,18,4.9,HT,1721591697
522,carupano,10.6678,-63.2585,30.23,62,0,5.86,VE,1721591697
523,riorges,46.0418,4.0497,20.84,94,16,2.44,FR,1721591697
524,ust'-ilimsk,58.0006,102.6619,17.0,89,88,1.26,RU,1721591697
525,porto seguro,-16.4497,-39.0647,24.29,78,40,3.09,BR,1721591698
526,ullal,12.8,74.85,26.53,94,100,3.09,IN,1721591698
527,sao joao da barra,-21.6403,-41.0511,25.05,72,0,5.9,BR,1721591698
528,saint-pierre,-21.3393,55.4781,20.82,60,0,3.09,RE,1721591698
529,kiruna,67.8557,20.2251,19.51,42,21,3.6,SE,1721591698
530,sisimiut,66.9395,-53.6735,8.33,66,100,1.93,GL,1721591699
531,ust'-kulom,61.6864,53.6902,11.06,71,30,1.28,RU,1721591699
532,nanning,22.8167,108.3167,26.25,89,100,0.97,CN,1721591699
533,cidreira,-30.1811,-50.2056,17.84,81,100,1.91,BR,1721591699
534,bugul'ma,54.55,52.8,17.09,92,100,0.55,RU,1721591700
535,villa gesell,-37.2639,-56.973,10.59,88,94,3.17,AR,1721591700
536,dudinka,69.4058,86.1778,4.14,81,4,4.91,RU,1721591558
537,yanam,16.7333,82.2167,26.28,84,100,4.27,IN,1721591700
538,puerto san jose,13.9256,-90.8244,32.03,68,20,4.12,GT,1721591700
539,margate,51.3813,1.3862,20.39,64,100,2.96,GB,1721591700
540,antalaha,-14.9003,50.2788,19.98,88,9,2.97,MG,1721591701
541,piti village,13.4626,144.6933,28.03,89,0,2.06,GU,1721591701
542,sumbe,-11.2061,13.8437,19.85,94,26,2.43,AO,1721591701
543,evans,33.5337,-82.1307,31.84,64,100,1.54,US,1721591701
544,illizi,26.4833,8.4667,38.89,11,0,3.96,DZ,1721591702
545,bereznik,62.8551,42.7072,13.36,63,14,2.19,RU,1721591702
546,taroa,8.7058,171.2275,28.03,80,66,5.42,MH,1721591702
547,dunedin,-45.8742,170.5036,7.67,77,100,7.15,NZ,1721591410
548,santiago de cao,-7.9589,-79.2392,18.07,77,7,6.17,PE,1721591703
549,kerimaki,61.9167,29.2833,16.97,94,0,0.51,FI,1721591703
550,ketchikan,55.3422,-131.6461,18.52,72,100,3.6,US,1721591703
551,manali,13.1667,80.2667,31.09,67,100,0.89,IN,1721591704
552,ishigaki,24.3448,124.1572,29.07,89,20,5.14,JP,1721591704
553,mattoon,39.4831,-88.3728,26.46,61,99,2.22,US,1721591704
554,mar del plata,-38.0023,-57.5575,10.53,77,95,3.13,AR,1721591704
555,calca,-13.3333,-71.95,20.64,36,3,5.17,PE,1721591704
556,shagonar,51.5333,92.8,15.15,90,98,1.81,RU,1721591705
557,starke,29.9441,-82.1098,35.47,52,100,0.0,US,1721591705
558,iquique,-20.2208,-70.1431,18.02,76,0,3.62,CL,1721591510
559,keren,15.7778,38.4581,24.26,70,100,2.13,ER,1721591705
560,tebessa,35.4042,8.1242,33.6,17,20,3.6,DZ,1721591705
561,chinde,26.8212,87.7095,24.98,91,100,1.54,NP,1721591706
562,tidjikja,18.5564,-11.4271,34.89,33,95,7.26,MR,1721591521
563,pacific grove,36.6177,-121.9166,22.79,80,100,4.12,US,1721591706
564,hadithah,34.1397,42.3781,35.9,22,0,6.33,IQ,1721591707
565,amahai,-3.3333,128.9167,24.46,87,100,3.76,ID,1721591707
566,nuku'alofa,-21.1333,-175.2,23.19,94,20,4.12,TO,1721591299
567,leninskoye,41.7589,69.3864,23.14,34,0,3.14,KZ,1721591707
568,languyan,5.2618,120.0807,26.14,92,97,2.6,PH,1721591707
569,san andres,12.5847,-81.7006,32.01,70,20,5.14,CO,1721591440
570,surgut,61.25,73.4167,14.1,62,0,3.0,RU,1721591708
571,hoa binh,20.8133,105.3383,24.87,94,100,0.97,VN,1721591708
572,serdar,38.9764,56.2757,29.98,43,29,7.83,TM,1721591708
573,mytilene,39.11,26.5547,28.9,65,0,0.0,GR,1721591709
574,siran,40.1894,39.1267,17.47,75,0,2.14,TR,1721591709
575,solnechnyy,50.7214,136.6319,15.83,99,100,2.54,RU,1721591709
576,moquegua,-17.1956,-70.9353,21.15,33,0,3.88,PE,1721591709
577,klaksvik,62.2266,-6.589,11.51,86,52,9.91,FO,1721591709
578,rio verde de mato grosso,-18.9181,-54.8442,32.19,15,0,2.5,BR,1721591710
579,san jose del guaviare,2.5729,-72.6459,23.93,86,99,1.65,CO,1721591710
580,horta,38.5333,-28.6333,24.8,83,20,3.6,PT,1721591328
581,neunkirchen,49.35,7.1833,22.4,68,0,2.57,DE,1721591710
582,tamiahua,21.2667,-97.45,29.48,70,92,3.82,MX,1721591710
583,northam,51.0333,-4.2167,16.88,83,55,5.73,GB,1721591711
584,banjarmasin,-3.3244,114.591,26.08,94,90,0.95,ID,1721591711
585,okakarara,-20.5833,17.4333,16.25,16,71,4.42,NA,1721591711
